onset	duration
7.006	3.379
15.913	3.088
20.873	2.656
33.846	3.163
48.819	2.758
62.793	2.752
69.753	3.632
83.726	3.051
93.699	3.934
105.673	2.624
112.646	2.555
121.606	2.546
134.579	2.046
147.553	2.207
158.526	1.931
167.499	2.037
174.459	2.206
184.433	2.591
193.406	2.898
207.379	2.629
219.339	2.333
229.313	2.231
242.286	2.482
254.259	2.645
268.233	3.023
279.193	2.719
291.166	2.538
299.139	2.149
304.099	2.429
315.072	2.968
322.046	2.218
331.019	3.101
340.979	2.501
352.952	2.52
363.926	2.898
376.886	1.914
387.859	2.293
399.832	3.512
406.806	2.706
413.766	2.442
420.739	2.357
426.712	1.968
432.672	1.896
443.646	1.954
451.619	1.853
460.592	2.24
467.552	2.184
478.526	1.882
490.499	2.069
502.459	2.365
508.432	2.192
514.406	2.242
522.379	2.797
532.339	2.733
539.312	2.568
547.286	2.394
559.259	2.213
565.219	1.925
573.192	2.144
586.165	2.427
