onset	duration
7.009	2.189
15.909	1.417
22.875	1.851
30.841	2.181
42.807	2.287
46.79	1.752
53.756	1.634
63.723	1.211
70.689	1.053
82.671	2.287
87.638	1.008
98.604	1.938
111.569	3.485
120.552	1.335
126.519	2.695
132.485	1.289
143.451	1.283
155.433	1.685
167.399	1.975
172.366	1.36
176.349	1.049
185.315	0.948
195.281	0.949
202.247	1.527
207.23	1.912
218.196	2.474
225.162	1.484
233.145	1.205
240.111	1.608
244.078	0.936
249.044	1.354
253.027	1.171
259.993	1.229
268.96	1.743
273.926	1.552
282.909	1.098
290.875	1.3
295.841	0.894
300.824	1.199
308.79	1.161
321.756	2.907
326.723	1.124
331.706	1.653
336.672	1.831
348.638	2.857
357.604	0.771
363.587	1.084
368.553	1.054
375.519	2.56
385.502	1.737
392.468	1.267
405.434	1.317
410.401	1.902
423.383	1.736
432.349	0.994
438.315	1.78
448.281	2.422
461.264	2.791
472.23	1.593
480.196	1.571
485.179	1.372
492.145	2.006
498.112	1.359
509.078	0.897
516.06	1.939
524.027	1.54
528.993	1.582
536.976	1.111
549.942	1.457
561.908	0.979
565.874	1.621
579.856	0.951
589.823	2.24
600.788	1.067
